"ind","nqueens","mutate","model"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.75,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
74,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,0.9,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
50,5,1,"tourn"
107,6,0.01,"tourn"
107,6,0.01,"tourn"
72,6,0.01,"tourn"
527,6,0.01,"tourn"
72,6,0.01,"tourn"
72,6,0.01,"tourn"
177,6,0.01,"tourn"
72,6,0.01,"tourn"
247,6,0.01,"tourn"
317,6,0.01,"tourn"
422,6,0.01,"tourn"
177,6,0.01,"tourn"
947,6,0.01,"tourn"
317,6,0.01,"tourn"
212,6,0.01,"tourn"
72,6,0.01,"tourn"
72,6,0.01,"tourn"
177,6,0.01,"tourn"
527,6,0.01,"tourn"
72,6,0.01,"tourn"
107,6,0.01,"tourn"
492,6,0.01,"tourn"
72,6,0.01,"tourn"
352,6,0.01,"tourn"
1157,6,0.01,"tourn"
212,6,0.05,"tourn"
352,6,0.05,"tourn"
72,6,0.05,"tourn"
142,6,0.05,"tourn"
72,6,0.05,"tourn"
982,6,0.05,"tourn"
72,6,0.05,"tourn"
142,6,0.05,"tourn"
387,6,0.05,"tourn"
352,6,0.05,"tourn"
72,6,0.05,"tourn"
352,6,0.05,"tourn"
107,6,0.05,"tourn"
982,6,0.05,"tourn"
72,6,0.05,"tourn"
317,6,0.05,"tourn"
72,6,0.05,"tourn"
282,6,0.05,"tourn"
142,6,0.05,"tourn"
72,6,0.05,"tourn"
72,6,0.05,"tourn"
72,6,0.05,"tourn"
177,6,0.05,"tourn"
72,6,0.05,"tourn"
107,6,0.05,"tourn"
72,6,0.1,"tourn"
492,6,0.1,"tourn"
317,6,0.1,"tourn"
1332,6,0.1,"tourn"
212,6,0.1,"tourn"
737,6,0.1,"tourn"
72,6,0.1,"tourn"
107,6,0.1,"tourn"
352,6,0.1,"tourn"
247,6,0.1,"tourn"
107,6,0.1,"tourn"
1052,6,0.1,"tourn"
72,6,0.1,"tourn"
72,6,0.1,"tourn"
107,6,0.1,"tourn"
247,6,0.1,"tourn"
142,6,0.1,"tourn"
247,6,0.1,"tourn"
177,6,0.1,"tourn"
632,6,0.1,"tourn"
1017,6,0.1,"tourn"
72,6,0.1,"tourn"
72,6,0.1,"tourn"
492,6,0.1,"tourn"
