"ind","nqueens","mutate","model"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
50,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
50,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
50,5,0.5,"allbut2"
50,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.5,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
50,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
50,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.75,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
50,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
50,5,0.9,"allbut2"
25,5,0.9,"allbut2"
50,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,0.9,"allbut2"
50,5,0.9,"allbut2"
25,5,0.9,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
50,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
25,5,1,"allbut2"
120,6,0.1,"allbut2"
1410,6,0.1,"allbut2"
1740,6,0.1,"allbut2"
30,6,0.1,"allbut2"
390,6,0.1,"allbut2"
1680,6,0.1,"allbut2"
540,6,0.1,"allbut2"
60,6,0.1,"allbut2"
90,6,0.1,"allbut2"
630,6,0.1,"allbut2"
1890,6,0.1,"allbut2"
30,6,0.1,"allbut2"
630,6,0.1,"allbut2"
60,6,0.1,"allbut2"
30,6,0.1,"allbut2"
2580,6,0.1,"allbut2"
120,6,0.1,"allbut2"
90,6,0.1,"allbut2"
900,6,0.1,"allbut2"
1230,6,0.1,"allbut2"
780,6,0.1,"allbut2"
450,6,0.1,"allbut2"
5190,6,0.1,"allbut2"
30,6,0.1,"allbut2"
120,6,0.1,"allbut2"
90,6,0.25,"allbut2"
3930,6,0.25,"allbut2"
600,6,0.25,"allbut2"
1620,6,0.25,"allbut2"
360,6,0.25,"allbut2"
600,6,0.25,"allbut2"
120,6,0.25,"allbut2"
660,6,0.25,"allbut2"
330,6,0.25,"allbut2"
660,6,0.25,"allbut2"
720,6,0.25,"allbut2"
390,6,0.25,"allbut2"
60,6,0.25,"allbut2"
1080,6,0.25,"allbut2"
720,6,0.25,"allbut2"
300,6,0.25,"allbut2"
60,6,0.25,"allbut2"
90,6,0.25,"allbut2"
60,6,0.25,"allbut2"
780,6,0.25,"allbut2"
270,6,0.25,"allbut2"
570,6,0.25,"allbut2"
1800,6,0.25,"allbut2"
150,6,0.25,"allbut2"
660,6,0.25,"allbut2"
150,6,0.5,"allbut2"
240,6,0.5,"allbut2"
330,6,0.5,"allbut2"
270,6,0.5,"allbut2"
90,6,0.5,"allbut2"
300,6,0.5,"allbut2"
360,6,0.5,"allbut2"
270,6,0.5,"allbut2"
60,6,0.5,"allbut2"
90,6,0.5,"allbut2"
150,6,0.5,"allbut2"
120,6,0.5,"allbut2"
180,6,0.5,"allbut2"
90,6,0.5,"allbut2"
30,6,0.5,"allbut2"
840,6,0.5,"allbut2"
270,6,0.5,"allbut2"
60,6,0.5,"allbut2"
450,6,0.5,"allbut2"
270,6,0.5,"allbut2"
90,6,0.5,"allbut2"
600,6,0.5,"allbut2"
60,6,0.5,"allbut2"
30,6,0.5,"allbut2"
240,6,0.5,"allbut2"
120,6,0.75,"allbut2"
90,6,0.75,"allbut2"
60,6,0.75,"allbut2"
60,6,0.75,"allbut2"
480,6,0.75,"allbut2"
330,6,0.75,"allbut2"
30,6,0.75,"allbut2"
30,6,0.75,"allbut2"
180,6,0.75,"allbut2"
270,6,0.75,"allbut2"
180,6,0.75,"allbut2"
150,6,0.75,"allbut2"
150,6,0.75,"allbut2"
210,6,0.75,"allbut2"
60,6,0.75,"allbut2"
90,6,0.75,"allbut2"
510,6,0.75,"allbut2"
240,6,0.75,"allbut2"
120,6,0.75,"allbut2"
240,6,0.75,"allbut2"
30,6,0.75,"allbut2"
300,6,0.75,"allbut2"
90,6,0.75,"allbut2"
60,6,0.75,"allbut2"
120,6,0.75,"allbut2"
30,6,0.9,"allbut2"
180,6,0.9,"allbut2"
60,6,0.9,"allbut2"
150,6,0.9,"allbut2"
120,6,0.9,"allbut2"
60,6,0.9,"allbut2"
90,6,0.9,"allbut2"
60,6,0.9,"allbut2"
270,6,0.9,"allbut2"
180,6,0.9,"allbut2"
210,6,0.9,"allbut2"
90,6,0.9,"allbut2"
150,6,0.9,"allbut2"
60,6,0.9,"allbut2"
210,6,0.9,"allbut2"
510,6,0.9,"allbut2"
90,6,0.9,"allbut2"
420,6,0.9,"allbut2"
30,6,0.9,"allbut2"
60,6,0.9,"allbut2"
30,6,0.9,"allbut2"
30,6,0.9,"allbut2"
30,6,0.9,"allbut2"
90,6,0.9,"allbut2"
120,6,0.9,"allbut2"
30,6,1,"allbut2"
300,6,1,"allbut2"
90,6,1,"allbut2"
210,6,1,"allbut2"
420,6,1,"allbut2"
150,6,1,"allbut2"
420,6,1,"allbut2"
240,6,1,"allbut2"
180,6,1,"allbut2"
60,6,1,"allbut2"
60,6,1,"allbut2"
240,6,1,"allbut2"
270,6,1,"allbut2"
300,6,1,"allbut2"
480,6,1,"allbut2"
210,6,1,"allbut2"
90,6,1,"allbut2"
420,6,1,"allbut2"
30,6,1,"allbut2"
150,6,1,"allbut2"
270,6,1,"allbut2"
60,6,1,"allbut2"
30,6,1,"allbut2"
240,6,1,"allbut2"
210,6,1,"allbut2"
35,7,0.1,"allbut2"
1260,7,0.1,"allbut2"
1750,7,0.1,"allbut2"
525,7,0.1,"allbut2"
560,7,0.1,"allbut2"
70,7,0.1,"allbut2"
2940,7,0.1,"allbut2"
35,7,0.1,"allbut2"
1575,7,0.1,"allbut2"
35,7,0.1,"allbut2"
455,7,0.1,"allbut2"
1400,7,0.1,"allbut2"
35,7,0.1,"allbut2"
35,7,0.1,"allbut2"
980,7,0.1,"allbut2"
35,7,0.1,"allbut2"
35,7,0.1,"allbut2"
525,7,0.1,"allbut2"
35,7,0.1,"allbut2"
35,7,0.1,"allbut2"
1505,7,0.1,"allbut2"
35,7,0.1,"allbut2"
805,7,0.1,"allbut2"
70,7,0.1,"allbut2"
105,7,0.1,"allbut2"
35,7,0.25,"allbut2"
175,7,0.25,"allbut2"
105,7,0.25,"allbut2"
70,7,0.25,"allbut2"
35,7,0.25,"allbut2"
245,7,0.25,"allbut2"
70,7,0.25,"allbut2"
280,7,0.25,"allbut2"
175,7,0.25,"allbut2"
35,7,0.25,"allbut2"
350,7,0.25,"allbut2"
315,7,0.25,"allbut2"
35,7,0.25,"allbut2"
35,7,0.25,"allbut2"
350,7,0.25,"allbut2"
105,7,0.25,"allbut2"
175,7,0.25,"allbut2"
280,7,0.25,"allbut2"
70,7,0.25,"allbut2"
70,7,0.25,"allbut2"
210,7,0.25,"allbut2"
35,7,0.25,"allbut2"
105,7,0.25,"allbut2"
455,7,0.25,"allbut2"
140,7,0.25,"allbut2"
105,7,0.5,"allbut2"
175,7,0.5,"allbut2"
105,7,0.5,"allbut2"
35,7,0.5,"allbut2"
210,7,0.5,"allbut2"
70,7,0.5,"allbut2"
70,7,0.5,"allbut2"
210,7,0.5,"allbut2"
70,7,0.5,"allbut2"
315,7,0.5,"allbut2"
105,7,0.5,"allbut2"
175,7,0.5,"allbut2"
105,7,0.5,"allbut2"
105,7,0.5,"allbut2"
35,7,0.5,"allbut2"
350,7,0.5,"allbut2"
35,7,0.5,"allbut2"
70,7,0.5,"allbut2"
140,7,0.5,"allbut2"
210,7,0.5,"allbut2"
35,7,0.5,"allbut2"
35,7,0.5,"allbut2"
175,7,0.5,"allbut2"
35,7,0.5,"allbut2"
175,7,0.5,"allbut2"
175,7,0.75,"allbut2"
35,7,0.75,"allbut2"
595,7,0.75,"allbut2"
35,7,0.75,"allbut2"
105,7,0.75,"allbut2"
35,7,0.75,"allbut2"
175,7,0.75,"allbut2"
35,7,0.75,"allbut2"
70,7,0.75,"allbut2"
70,7,0.75,"allbut2"
245,7,0.75,"allbut2"
70,7,0.75,"allbut2"
35,7,0.75,"allbut2"
140,7,0.75,"allbut2"
245,7,0.75,"allbut2"
210,7,0.75,"allbut2"
210,7,0.75,"allbut2"
315,7,0.75,"allbut2"
105,7,0.75,"allbut2"
35,7,0.75,"allbut2"
35,7,0.75,"allbut2"
70,7,0.75,"allbut2"
175,7,0.75,"allbut2"
455,7,0.75,"allbut2"
350,7,0.75,"allbut2"
175,7,0.9,"allbut2"
35,7,0.9,"allbut2"
595,7,0.9,"allbut2"
70,7,0.9,"allbut2"
35,7,0.9,"allbut2"
140,7,0.9,"allbut2"
385,7,0.9,"allbut2"
245,7,0.9,"allbut2"
70,7,0.9,"allbut2"
210,7,0.9,"allbut2"
70,7,0.9,"allbut2"
280,7,0.9,"allbut2"
70,7,0.9,"allbut2"
175,7,0.9,"allbut2"
175,7,0.9,"allbut2"
280,7,0.9,"allbut2"
420,7,0.9,"allbut2"
280,7,0.9,"allbut2"
70,7,0.9,"allbut2"
140,7,0.9,"allbut2"
140,7,0.9,"allbut2"
245,7,0.9,"allbut2"
140,7,0.9,"allbut2"
105,7,0.9,"allbut2"
35,7,0.9,"allbut2"
70,7,1,"allbut2"
245,7,1,"allbut2"
245,7,1,"allbut2"
35,7,1,"allbut2"
70,7,1,"allbut2"
70,7,1,"allbut2"
140,7,1,"allbut2"
140,7,1,"allbut2"
35,7,1,"allbut2"
